Hotel,Restoran,Area Parkir,Toilet
Pondok Berata Dapdap,Rumah Makan Sahat Martahan Napitupulu,Car Parking Lot,Toilet & Ruang Ganti
Roseâ€™s Homestay,Kede Faisal,Parkiran Mobil Barang,Toilet Silangit Airport
Damar Toba ~ Lakeside Eatery & Stay,Rumah Makan Hasudungan II,Area Parkir,Kamar Mandi Umum
AQUINO MARITO,Warung Tepi Danau Sibungabunga Pakkodian,,Public Toilet
Tiara Bunga Hotel,BPK Arih Ersada,,Public Toilet
Gading home stay,Warung Chesya - Tempat Makan di Toba,,Public Toilet
Labersa Hotel & Convention Centre Toba - Sumut,RM Khas Batak Dibangarna,,Public Toilet
Mutiara Balige Hotel,Bayu Resto,,Public Toilet
Sapadia Villa Balige,RM Khas Batak Mata Mual,,Public Toilet
Home Stay Bagasan,Warung Mie Gomak Op. Rizal Simanjuntak,,Toilet
Hotel Ompu Herti,Rumah Makan Bpk Latersia,,Public Toilet
Purnama lodge hotel,Putri Ginting,,Purba /Tumiar
The Boat Homestay and Spa,Warung Kembar (KHAS BATAK),,Toilet
GRAND TOBA HOTEL,Pantai Robema,,Toilet
Purnama Balige Hotel & Restaurant,Warung Makan Indomie,,Toilets
Pudan Residence,Wita Cafe,,Toilet
OYO 540 Esther Hotel,Cafe Gur Gur,,Toilet
Nauli Inn,Betesda Cafe Balige,,Toilet
Kos dan Homestay Mantha,Joyce Cafe,,Toilet
Rap Hotel,"Rolas Cafe, Lumban Silintong",,Toilet
Roma anugrah hotel,Warmindo Willy Cafe,,
Hotel Adela,Foodpedia Balige,,
Rap Hotel,Cafe Frengki,,
Abe Homestay & Wisma,Kedai Bakmi Kasih Soposurung,,
Hubers Hotel,CAFETARIA TB SILALAHI CENTER,,
OYO 91778 Pudan Residence,Driving Range Restaurant,,
OYO 90645 Karisma Residence,Cafe Galilea,,
RedDoorz @ Aldos Villa Silangit,Sate Padang Soposurung,,
Wisma/Motel Siahaan,Warung Muslim Azan Nuddin,,
CIKOM HOTEL CAFE & RESTO,Kantin Queen,,
Guesthouse Ulubius Porsea,Istana Pempek Palembang,,
Ita Soposurung Hotel,Vivi Cafe,,
Vania Homestay,Cafe Hollywood,,
OYO 1095 Rap Hotel,AKACI,,
Homestay Ita Pagar Batu,Rumah Makan Bpk Latersia Khas karo,,
Hotel Mezra,Lapo Tombis,,
Sopo Almonsari,Tepi Danau Bistro,,
Lago Hotel & Resto,Rumah Makan Khas Karo Tambar Lihe,,
Hotel Sumatera Balige,Santai Cafe,,
Hotel Marsaringar,Rumah makan josss,,
Hotel Dizomn,Rumah Makan Putri Minang,,
Brussels Homestay,RM. GOMGOM KHAS BATAK,,
Hotel Sere Nauli,Naga Restoran,,
Grand Mareda Hotel,Rumah Makan Khas Batak Lamhot,,
Homestay Op.Martahan,Boruku,,
OYO 1819 Aries Hotel,Kedai sianipar,,
Samiangel Homestay,Cafe Bunga Toba,,
Noah Hotel Silangit,Lapo Tuak Dame,,
Family Homestay,Lobster cafe,,
HOTRONA HOTEL,Lapo Joss,,
Arirang27 Homestay,Rumah Makan Ungu,,
Airy Balige Tarutung 77 Silangit,Kedai Mie Lily,,
J&J Guest House 1 Rumah,Pizza Andaliman,,
Rumah 4G,Rumah Makan Pondok Salero,,
Hotel Santo Djaya,Damar Toba ~ Lakeside Eatery & Stay,,
Mutato Cafe & Homestay,lapo toba,,
Guest House Raja Deang,Toba Corner Restaurant,,
OYO 91630 Mabar Homestay Syariah,Tao Tio Coffee and Resto,,
Mabar Homestay & Taxi,Rumah makan,,
Pea Nature,"BAKSO MAS PANDU ""WONG SOLO""",,
,Cerita Bakso,,
,Warung Muslim Nenek Aceh,,
,Restaurant,,
,Restoran Ayam Kejar,,
,Rumah Makan Rizqii,,
,Rumah makan botu tompul,,
,Kedai Bakmi Bahagia 2,,
,KOKOTEKOK,,
,Rumah Makan Khas Batak Toba Utara,,
,Sihar resto & coffee,,
,Kedai Bakmi Sadela,,
,Rumah Makan Surya Bundo,,
,SATE PUTRI MINANG,,
,Kedai Bakmie Bahagia 2,,
,Mi Sop Alika,,
,Family Resto,,
,Sitopan (Sitombuk Panatapan Nauli) Balige,,
,Warung Muslim,,
,Sate Padang Buyung,,
,Kedai Bakmi Sukaria,,
,Rumah makan Soor by pass,,
,Warung Pecel Lele Mbg Yanti,,
,Bakso ANDA,,
,Turnip Bakmi,,
,Warung Bang Sofyan,,
,TOBA GLODATIN,,
,Bakso Bakar Galau,,
,BAKSO PAK RADIT (BAKSO KHAS MALANG),,
,Rumah Makan Nasional,,
,Sang Diva Cafe & Resto,,
,Caldera Resto and Coffee,,
,"Warung Muslim ""Sinar Minang""",,
,Mie Ayam Bakso Syarifa,,
,Ayam Goreng Jago Sinar Nusantara,,
,"Amoura Seafood, Ayam Penyet Jakarta",,
,warung mak iwan,,
,Kedai Bakmi Laris,,
,RM. Islam Roda Baru,,
,Rumah Makan TONDONGTA,,
,Waroeng Minang Tanjung,,
,Cefe hillong,,
,Bubur Ayam Bandung,,
,MULANI COOKING,,
,Rumah Makan Panca,,
,kedai bakmi MARDOMU,,
,Warkop silitonga,,
,Rumah Makan Islam Karina,,
,Rumah Makan Islam Winda,,
,Mie Gomak Mak Ondi,,
,Mie Gomak Mak Renny,,
,Rumah Makan Jaya,,
,Rumah Makan Muslim Marroan,,
,Toba Naria Cafe,,
,Rumah Makan SABAS Balige City,,
,RM. Muslim Karina Jaya,,
,Kacang Garing Tobasa,,
,Rumah Makan Muslim Restu,,
,Warung Muslim Mak Akbar,,
,Rumah Makan Khas Batak TOBA SAMOSIR,,
,Rumah Makan Muslim Berkah,,
